1 H 99.9885
2 H 0.0115
3 He 0.000137
4 He 99.999863
6 Li 7.59
7 Li 92.41
9 Be 100.
10 B 19.9
11 B 80.1
12 C 98.93
13 C 1.07
14 N 99.632
15 N 0.368
16 O 99.757
17 O 0.038
18 O 0.205
19 F 100.
20 Ne 90.48
21 Ne 0.27
22 Ne 9.25
23 Na 100.
24 Mg 78.99
25 Mg 10.00
26 Mg 11.01
27 Al 100.
28 Si 92.2297
29 Si 4.6832
30 Si 3.0872
31 P 100.
32 S 94.93
33 S 0.76
34 S 4.29
36 S 0.02
35 Cl 75.78
37 Cl 24.22
36 Ar 0.3365
38 Ar 0.0632
40 Ar 99.6003
39 K 93.2581
40 K 0.0117
41 K 6.7302
40 Ca 96.941
42 Ca 0.647
43 Ca 0.135
44 Ca 2.086
46 Ca 0.004
48 Ca 0.187
45 Sc 100.
46 Ti 8.25
47 Ti 7.44
48 Ti 73.72
49 Ti 5.41
50 Ti 5.18
50 V 0.250
51 V 99.750
50 Cr 4.345
52 Cr 83.789
53 Cr 9.501
54 Cr 2.365
55 Mn 100.
54 Fe 5.845
56 Fe 91.754
57 Fe 2.119
58 Fe 0.282
59 Co 100.
58 Ni 68.0769
60 Ni 26.2231
61 Ni 1.1399
62 Ni 3.6345
64 Ni 0.9256
63 Cu 69.17
65 Cu 30.83
64 Zn 48.63
66 Zn 27.90
67 Zn 4.10
68 Zn 18.75
70 Zn 0.62
69 Ga 60.108
71 Ga 39.892
70 Ge 20.84
72 Ge 27.54
73 Ge 7.73
74 Ge 36.28
76 Ge 7.61
75 As 100
74 Se 0.89
76 Se 9.37
77 Se 7.63
78 Se 23.77
80 Se 49.61
82 Se 8.73
79 Br 50.69
81 Br 49.31
78 Kr 0.35
80 Kr 2.28
82 Kr 11.58
83 Kr 11.49
84 Kr 57.00
86 Kr 17.30
85 Rb 72.17
87 Rb 27.83
84 Sr 0.56
86 Sr 9.86
87 Sr 7.00
88 Sr 82.58
89 Y 100
90 Zr 51.45
91 Zr 11.22
92 Zr 17.15
94 Zr 17.38
96 Zr 2.80
93 Nb 100
92 Mo 14.84
94 Mo 9.25
95 Mo 15.92
96 Mo 16.68
97 Mo 9.55
98 Mo 24.13
100 Mo 9.63
96 Ru 5.54
98 Ru 1.87
99 Ru 12.76
100 Ru 12.60
101 Ru 17.06
102 Ru 31.55
104 Ru 18.62
103 Rh 100
102 Pd 1.02
104 Pd 11.14
105 Pd 22.33
106 Pd 27.33
108 Pd 26.46
110 Pd 11.72
107 Ag 51.839
109 Ag 48.161
106 Cd 1.25
108 Cd 0.89
110 Cd 12.49
111 Cd 12.80
112 Cd 24.13
113 Cd 12.22
114 Cd 28.73
116 Cd 7.49
113 In 4.29
115 In 95.71
112 Sn 0.97
114 Sn 0.66
115 Sn 0.34
116 Sn 14.54
117 Sn 7.68
118 Sn 24.22
119 Sn 8.59
120 Sn 32.58
122 Sn 4.63
124 Sn 5.79
121 Sb 57.21
123 Sb 42.79
120 Te 0.09
122 Te 2.55
123 Te 0.89
124 Te 4.74
125 Te 7.07
126 Te 18.84
128 Te 31.74
130 Te 34.08
127 I 100
124 Xe 0.09
126 Xe 0.09
128 Xe 1.92
129 Xe 26.44
130 Xe 4.08
131 Xe 21.18
132 Xe 26.89
134 Xe 10.44
136 Xe 8.87
133 Cs 100
130 Ba 0.106
132 Ba 0.101
134 Ba 2.417
135 Ba 6.592
136 Ba 7.854
137 Ba 11.232
138 Ba 71.698
138 La 0.090
139 La 99.910
136 Ce 0.185
138 Ce 0.251
140 Ce 88.450
142 Ce 11.114
141 Pr 100
142 Nd 27.2
143 Nd 12.2
144 Nd 23.8
145 Nd 8.3
146 Nd 17.2
148 Nd 5.7
150 Nd 5.6
144 Sm 3.07
147 Sm 14.99
148 Sm 11.24
149 Sm 13.82
150 Sm 7.38
152 Sm 26.75
154 Sm 22.75
151 Eu 47.81
153 Eu 52.19
152 Gd 0.20
154 Gd 2.18
155 Gd 14.80
156 Gd 20.47
157 Gd 15.65
158 Gd 24.84
160 Gd 21.86
159 Tb 100
156 Dy 0.06
158 Dy 0.10
160 Dy 2.34
161 Dy 18.91
162 Dy 25.51
163 Dy 24.90
164 Dy 28.18
165 Ho 100
162 Er 0.14
164 Er 1.61
166 Er 33.61
167 Er 22.93
168 Er 26.78
170 Er 14.93
169 Tm 100
168 Yb 0.13
170 Yb 3.04
171 Yb 14.28
172 Yb 21.83
173 Yb 16.13
174 Yb 31.83
176 Yb 12.76
175 Lu 97.41
176 Lu 2.59
174 Hf 0.16
176 Hf 5.26
177 Hf 18.60
178 Hf 27.28
179 Hf 13.62
180 Hf 35.08
180 Ta 0.012
181 Ta 99.988
180 W 0.12
182 W 26.50
183 W 14.31
184 W 30.64
186 W 28.43
185 Re 37.40
187 Re 62.60
184 Os 0.02
186 Os 1.59
187 Os 1.96
188 Os 13.24
189 Os 16.15
190 Os 26.26
192 Os 40.78
191 Ir 37.3
193 Ir 62.7
190 Pt 0.014
192 Pt 0.782
194 Pt 32.967
195 Pt 33.832
196 Pt 25.242
198 Pt 7.163
197 Au 100
196 Hg 0.15
198 Hg 9.97
199 Hg 16.87
200 Hg 23.10
201 Hg 13.18
202 Hg 29.86
204 Hg 6.87
203 Tl 29.524
205 Tl 70.476
204 Pb 1.4
206 Pb 24.1
207 Pb 22.1
208 Pb 52.4
209 Bi 100
232 Th 100
231 Pa 100
234 U 0.0055
235 U 0.7200
238 U 99.2745
